,title,director,actor1,actor2,actor3,genres
25,logan lucky,Steven Soderbergh , Channing Tatum, Adam Driver, Riley Keough,Action  Comedy  Crime  Drama
26,patti cake$,Geremy Jasper , Danielle Macdonald, McCaul Lombardi,unknown,Drama  Music
27,victor crowley,Adam Green , Kane Hodder, Tyler Mane, Parry Shen,Horror  Comedy
28,all saints,Steve Gomer , John Corbett, Cara Buono,unknown,Drama  Comedy
29,served like a girl,Lysa Heslov ,Lysa Heslov (director),unknown,unknown,Documentary
30,beach rats,Eliza Hittman , Harris Dickinson, Madeline Weinstein, Kate Hodge,Drama  Romance
31,film stars don't die in liverpool,Paul McGuigan , Annette Bening, Jamie Bell, Vanessa Redgrave,Romance  Drama
32,tulip fever,Justin Chadwick , Alicia Vikander, Dane DeHaan, Christoph Waltz,Drama  Romance
33,unlocked,Michael Apted , Noomi Rapace, Orlando Bloom, Toni Collette,Action  Thriller
34,it,Andrés Muschietti , Jaeden Lieberher, Bill Skarsgård, Sophia Lillis,Horror  Fantasy
35,home again,Hallie Meyers-Shyer , Reese Witherspoon, Candice Bergen, Michael Sheen,Comedy  Drama  Romance
36,9/11,unknown,Charlie Sheen, Whoopi Goldberg,unknown,Drama
37,the good catholic,Paul Shoulberg , Zachary Spicer, Wrenn Schmidt, John C. McGinley,Drama  Comedy
38,gun shy,Simon West , Antonio Banderas, Olga Kurylenko,unknown,Action  Adventure  Comedy  Crime  Thriller
39,fallen,Scott Hicks , Addison Timlin, Jeremy Irvine,unknown,Action  Thriller
40,american assassin,Michael Cuesta , Dylan O'Brien, Michael Keaton, Sanaa Lathan,Action  Thriller
41,mother!,Darren Aronofsky , Jennifer Lawrence, Javier Bardem, Michelle Pfeiffer,Drama  Horror  Mystery
42,brad's status,Mike White , Ben Stiller, Michael Sheen, Luke Wilson,Comedy  Drama
43,kingsman: the golden circle,Matthew Vaughn , Colin Firth, Julianne Moore, Taron Egerton,Action  Adventure  Comedy  Crime  Thriller
44,the lego ninjago movie,Charlie Bean , Jackie Chan, Justin Theroux, Dave Franco,Family  Animation  Action  Adventure
45,stronger,David Gordon Green , Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson,Drama
46,battle of the sexes,Jonathan Dayton and Valerie Faris , Emma Stone, Steve Carell, Andrea Riseborough,Comedy  Drama  History
47,woodshock,unknown, Kirsten Dunst, Joe Cole, Pilou Asbæk,Thriller  Drama
48,victoria & abdul,Stephen Frears , Judi Dench, Ali Fazal, Eddie Izzard,Drama  History
49,jeepers creepers 3,Victor Salva , Jonathan Breck, Meg Foster, Brandon James,Horror  Mystery  Thriller
50,american made,Doug Liman , Tom Cruise, Domhnall Gleeson, Sarah Wright,Action  Crime  Comedy
51,flatliners,Niels Arden Oplev , Ellen Page, Diego Luna, Nina Dobrev,Drama  Horror  Thriller
52,mark felt: the man who brought down the white house,Peter Landesman , Liam Neeson, Diane Lane, Marton Csokas,Drama  History  Thriller
0,blade runner 2049,Denis Villeneuve , Harrison Ford, Ryan Gosling, Ana de Armas,Science Fiction  Drama
1,the mountain between us,Hany Abu-Assad , Idris Elba, Kate Winslet, Dermot Mulroney,Romance  Adventure  Drama
2,my little pony: the movie,Jayson Thiessen , Tara Strong, Ashleigh Ball, Andrea Libman,Family  Animation  Music  Adventure  Fantasy
3,the florida project,Sean Baker , Willem Dafoe, Bria Vinaite, Brooklynn Prince,Drama
4,brawl in cell block 99,S. Craig Zahler , Vince Vaughn, Jennifer Carpenter, Don Johnson,Action  Crime  Thriller
5,happy death day,Christopher B. Landon , Jessica Rothe, Israel Broussard, Ruby Modine,Comedy  Horror  Science Fiction
6,marshall,Reginald Hudlin , Chadwick Boseman, Josh Gad, Kate Hudson,Drama
7,breathe,Andy Serkis , Andrew Garfield, Claire Foy, Tom Hollander,Horror
8,goodbye christopher robin,Simon Curtis , Domhnall Gleeson, Margot Robbie, Kelly Macdonald,Family  History
9,professor marston and the wonder women,Angela Robinson , Luke Evans, Rebecca Hall, Bella Heathcote,Drama  Romance
10,blood money,Lucky McKee , John Cusack, Ellar Coltrane, Willa Fitzgerald,Thriller  Drama
11,geostorm,Dean Devlin , Gerard Butler, Abbie Cornish, Alexandra Lara,Action  Science Fiction  Thriller
12,only the brave,Joseph Kosinski , Ben Hardy, Jennifer Connelly, Taylor Kitsch,Drama  Action  History
13,boo 2! a madea halloween,Tyler Perry , Tyler Perry, Cassi Davis, Patrice Lovely,Horror  Comedy
14,same kind of different as me,Michael Carney , Renée Zellweger, Jon Voight, Djimon Hounsou,Drama
15,leatherface,Julien Maury and Alexandre Bustillo , Stephen Dorff, Vanessa Grasse, Sam Strike,Horror  Thriller  Mystery
16,wonderstruck,Todd Haynes , Oakes Fegley, Julianne Moore, Millicent Simmonds,Drama
17,the killing of a sacred deer,Yorgos Lanthimos , Colin Farrell, Nicole Kidman, Barry Keoghan,Drama  Thriller  Mystery
18,thank you for your service,Jason Hall , Miles Teller, Haley Bennett, Beulah Koale,Drama  War
19,suburbicon,George Clooney , Matt Damon, Julianne Moore, Oscar Isaac,Thriller  Crime  Drama  Mystery
20,jigsaw,The Spierig Brothers , Tobin Bell, Mandela Van Peebles, Laura Vandervoort,Horror  Crime  Mystery  Thriller
21,novitiate,Maggie Betts , Margaret Qualley, Melissa Leo, Morgan Saylor,Drama
22,all i see is you,Marc Forster , Blake Lively, Jason Clarke, Yvonne Strahovski,Mystery  Thriller
23,amityville: the awakening,Franck Khalfoun , Bella Thorne, Jennifer Jason Leigh, Cameron Monaghan,Thriller  Horror
24,thor: ragnarok,Taika Waititi , Chris Hemsworth, Tom Hiddleston, Cate Blanchett,Action  Adventure  Comedy  Fantasy  Science Fiction
25,a bad moms christmas,Jon Lucas , Mila Kunis, Kristen Bell, Kathryn Hahn,Comedy
26,last flag flying,Richard Linklater , Steve Carell, Bryan Cranston, Laurence Fishburne,Drama  Comedy
27,lady bird,Greta Gerwig , Saoirse Ronan, Laurie Metcalf, Tracy Letts,Drama  Comedy
28,murder on the orient express,Kenneth Branagh , Kenneth Branagh, Penélope Cruz, Willem Dafoe,Mystery  Crime  Drama
29,daddy's home 2,Sean Anders , Will Ferrell, Mark Wahlberg, Linda Cardellini,Comedy
30,lbj,Rob Reiner , Woody Harrelson, Richard Jenkins, Bill Pullman,Drama  History
31,"three billboards outside ebbing, missouri",Martin McDonagh , Frances McDormand, Woody Harrelson, Sam Rockwell,Crime  Drama
32,mayhem,Joe Lynch , Steven Yeun, Samara Weaving, Steven Brand,Action  Comedy  Horror
33,justice league,Zack Snyder , Ben Affleck, Henry Cavill, Gal Gadot,Action  Adventure  Fantasy  Science Fiction
34,the star,Timothy Reckart , Steven Yeun, Gina Rodriguez, Zachary Levi,Comedy  Adventure  Family  Fantasy  Animation
35,wonder,Stephen Chbosky , Julia Roberts, Jacob Tremblay, Owen Wilson,Fantasy  Action  Adventure
36,cook off!,Cathryn Michon (director/screenplay); Guy Shalem , Cathryn Michon, Melissa McCarthy, Wendi McLendon-Covey,Comedy
37,mr. roosevelt,Noël Wells , Noël Wells, Nick Thune, Britt Lower,Comedy
38,"roman j. israel, esq.",Dan Gilroy ,Dan Gilroy (director/screenplay), Denzel Washington, Colin Farrell,Drama  Crime  Thriller
39,coco,Lee Urich , Anthony Gonzalez, Gael García Bernal, Benjamin Bratt,Family  Animation  Fantasy  Music  Comedy  Adventure
40,darkest hour,Joe Wright , Gary Oldman, Ben Mendelsohn, Kristin Scott Thomas,Drama  History
41,the man who invented christmas,Bharat Nalluri , Dan Stevens, Christopher Plummer, Jonathan Pryce,Drama  History  Comedy  Family
42,call me by your name,Luca Guadagnino , Timothée Chalamet, Armie Hammer, Michael Stuhlbarg,Romance  Drama
43,the disaster artist,James Franco , James Franco, Dave Franco, Seth Rogen,Comedy  Drama
44,the shape of water,Guillermo del Toro , Sally Hawkins, Michael Shannon, Richard Jenkins,Drama  Fantasy  Romance
45,wonder wheel,Woody Allen , Kate Winslet, Justin Timberlake, Juno Temple,Drama
46,"i, tonya",Craig Gillespie , Margot Robbie, Sebastian Stan, Allison Janney,Drama
47,just getting started,Ron Shelton , Morgan Freeman, Tommy Lee Jones, Rene Russo,Action  Comedy
48,star wars: the last jedi,Rian Johnson , Mark Hamill, Carrie Fisher, Adam Driver,Science Fiction  Action  Adventure
49,ferdinand,Carlos Saldanha , John Cena, Kate McKinnon, Bobby Cannavale,Animation  Family  Adventure  Comedy
50,beyond skyline,Liam O'Donnell , Frank Grillo, Bojana Novakovic, Callan Mulvey,Action  Science Fiction  Adventure  Horror
51,jumanji: welcome to the jungle,Jake Kasdan , Dwayne Johnson, Kevin Hart, Jack Black,Action  Adventure  Comedy  Fantasy
52,the greatest showman,Michael Gracey , Hugh Jackman, Zac Efron, Rebecca Ferguson,Drama
53,pitch perfect 3,Trish Sie , Anna Kendrick, Anna Camp, Rebel Wilson,Comedy  Music
54,downsizing,Alexander Payne , Matt Damon, Christoph Waltz, Hong Chau,Comedy  Drama  Science Fiction
55,father figures,Lawrence Sher , Owen Wilson, Ed Helms, J. K. Simmons,Comedy
56,the post,Steven Spielberg , Tom Hanks, Meryl Streep, Bruce Greenwood,Drama  History
57,bright,David Ayer , Will Smith, Joel Edgerton, Noomi Rapace,Action  Fantasy  Thriller
58,crooked house,Gilles Paquet-Brenner , Max Irons, Glenn Close, Gillian Anderson,Drama  Mystery  Crime  TV Movie
59,hostiles,Scott Cooper , Christian Bale, Rosamund Pike, Wes Studi,Western  Drama  History
60,all the money in the world,Ridley Scott , Michelle Williams, Mark Wahlberg, Christopher Plummer,Thriller  Drama  Crime  Mystery  History
61,molly's game,Aaron Sorkin , Jessica Chastain, Idris Elba, Kevin Costner,Crime  Drama
62,phantom thread,Paul Thomas Anderson , Daniel Day-Lewis, Lesley Manville, Richard Graham,Drama  Romance
0,insidious: the last key,Adam Robitel , Lin Shaye, Angus Sampson, Leigh Whannell,Horror  Mystery  Thriller
1,the strange ones,Lauren Wolkstein , Alex Pettyfer, James Freedson-Jackson, Emily Althaus,Thriller  Drama
2,stratton,Simon West , Dominic Cooper, Austin Stowell, Gemma Chan,Action  Thriller
3,sweet country,Warwick Thornton , Bryan Brown, Sam Neill,unknown,Drama  History  Western
4,the commuter,Jaume Collet-Serra , Liam Neeson, Vera Farmiga, Patrick Wilson,Action  Thriller
5,proud mary,Babak Najafi , Taraji P. Henson, Billy Brown, Danny Glover,Thriller  Action  Crime
6,acts of violence,Brett Donowho , Bruce Willis, Cole Hauser, Shawn Ashmore,Action
7,freak show,Trudie Styler , Alex Lawther, Abigail Breslin, Bette Midler,Comedy  Drama
8,humor me,Sam Hoffman , Jemaine Clement, Elliott Gould, Ingrid Michaelson,Comedy
9,vazante,Daniela Thomas , Adriano Carvalho, Luana Nastas,unknown,Drama
10,mary and the witch's flower,Hiromasa Yonebayashi , Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet,Fantasy  Adventure  Animation
11,12 strong,Nicolai Fuglsig , Chris Hemsworth, Michael Shannon, Michael Peña,War  Drama  Action  History
12,den of thieves,Christian Gudegast , Gerard Butler, 50 Cent, Pablo Schreiber,Action  Thriller  Crime
13,forever my girl,Bethany Ashton Wolf , Alex Roe, Jessica Rothe, John Benjamin Hickey,Romance  Drama  Music
